,0
dNBR,0.6466488
trend_NBR_3yr,0.1645019
z_NBR,0.048138313
NDMI,0.019069633
NBR,0.01374856
dNDVI,0.012336091
NBR2,0.0069536595
dNBR_lag1,0.006173045
NDWI,0.0060685785
d2NBR,0.005971263
dNBR_lag3,0.005141529
shortwave_infrared_2,0.00512436
red,0.0041931868
EVI,0.0040991968
NDVI,0.0038367733
NBR_lag1,0.003642077
var_NBR_3yr,0.0036179752
dNBR_lag2,0.0035675038
green,0.003548944
near_infrared,0.0034781082
NBR_lag2,0.0033567217
NDVI_lag2,0.0032145102
dNDVI_lag3,0.003136976
shortwave_infrared_1,0.003127119
blue,0.0031098379
NBR_lag3,0.0030206447
NDVI_lag1,0.0029809428
dNDVI_lag2,0.0028604814
NDVI_lag3,0.002792499
dNDVI_lag1,0.002540671
